ISBN	Title	Class	AccessionNo
9786214880300	Law enforcement organization and administration second edition	FIL HV 8075 D48 2025 c.3	FIL-9449
9786214880010	Traffic management and accident investigation with driving second edition	FIL HE 5621 A64 2024 c.1	FIL-9450
9786214880010	Traffic management and accident investigation with driving second edition	FIL HE 5621 A64 2024 c.2	FIL-9451
9786214880010	Traffic management and accident investigation with driving second edition	FIL HE 5621 A64 2024 c.3	FIL-9452
9786214880003	Theories of crime causation	FIL HV 6025 S25 2024 c.1	FIL-9453
9786214880003	Theories of crime causation	FIL HV 6025 S25 2024 c.2	FIL-9454
9786214880003	Theories of crime causation	FIL HV 6025 S25 2024 c.3	FIL-9455
9786214880324	Specialized crime investigation 2 with interview and interrogation	FIL HV 8077 A74 2025 c.1	FIL-9456
9786214880324	Specialized crime investigation 2 with interview and interrogation	FIL HV 8077 A74 2025 c.2	FIL-9457
9786214880324	Specialized crime investigation 2 with interview and interrogation	FIL HV 8077 A74 2025 c.3	FIL-9458
9786214880027	Character formation 2 Leadership, decision making, management and administration 3rd ed	FIL BJ 1533 L58 2024 c.1	FIL-9459
9786214880027	Character formation 2 Leadership, decision making, management and administration 3rd ed	FIL BJ 1533 L58 2024 c.2	FIL-9460
9786214880027	Character formation 2 Leadership, decision making, management and administration 3rd ed	FIL BJ 1533 L58 2024 c.3	FIL-9461
9786214880133	Non institutional corrections 3rd ed	FIL HV 9466 C43 2024 c.1	FIL-9462
9786214880133	Non institutional corrections 3rd ed	FIL HV 9466 C43 2024 c.2	FIL-9463
9786214880133	Non institutional corrections 3rd ed	FIL HV 9466 C43 2024 c.3	FIL-9464
9786214781423	Philippine culture and tourism geography 3rd ed.	FIL G 155.5 Y46 2025 c.4	FIL-9465
9786214781423	Philippine culture and tourism geography 3rd ed.	FIL G 155.5 Y46 2025 c.5	FIL-9466
9786214781423	Philippine culture and tourism geography 3rd ed.	FIL G 155.5 Y46 2025 c.6	FIL-9467
9786214880157	Introduction to industrial security concepts 4th ed.	FIL TH 9145 B63 2024 c.1	FIL-9468
9786214880157	Introduction to industrial security concepts 4th ed.	FIL TH 9145 B63 2024 c.2	FIL-9469
9786214880157	Introduction to industrial security concepts 4th ed.	FIL TH 9145 B63 2024 c.3	FIL-9470
9786214782000	Tour guiding	FIL G 155 V59 2026 c.1	FIL-9471
9786214782000	Tour guiding	FIL G 155 V59 2026 c.2	FIL-9472
9786214782000	Tour guiding	FIL G 155 V59 2026 c.3	FIL-9473
9788119920334	Gender and Human Rights Narrative on Macro-Micro Realities	HQ 1236 S56 2024 c.1	GEN-9778
9789362247193	Law enforcement organization and administration second edition	HV 8075 H33 2025 c.1	GEN-9531
9789362247193	Law enforcement organization and administration second edition	HV 8075 H33 2025 c.2	GEN-9532
9789362247193	Law enforcement organization and administration second edition	HV 8075 H33 2025 c.3	GEN-9533
9781835353004	Principle of Fingerprint	HV 8076 S56 2025 c.1	GEN-9722
9781835353004	Principle of Fingerprint	HV 8076 S56 2025 c.2	GEN-9723
9781835353004	Principle of Fingerprint	HV 8076 S56 2025 c.3	GEN-9724
9789362243720	Special Crime Investigation	HV 8073 Y33 2025 c.1	GEN-9725
9789362243720	Special Crime Investigation	HV 8073 Y33 2025 c.2	GEN-9726
9789362243720	Special Crime Investigation	HV 8073 Y33 2025 c.3	GEN-9727
